treatment,well_nr,sample_nr,date,timepoint,description ,variable,value,std_dev
ASW,ASW-1,NA,2021-11-03,T0,ASW,wet_weight(g),0.0049,NA
ASW,ASW-2,NA,2021-11-03,T0,ASW,wet_weight(g),0.0059,NA
ASW,ASW-3,NA,2021-11-03,T0,ASW,wet_weight(g),0.0036,NA
ASW,ASW-4,NA,2021-11-03,T0,ASW,wet_weight(g),0.004,NA
ASW,ASW-5,NA,2021-11-03,T0,ASW,wet_weight(g),0.0057,NA
ASW,ASW-6,NA,2021-11-03,T0,ASW,wet_weight(g),0.0047,NA
ABS1,ABS1-1,NA,2021-11-03,T0,ASW,wet_weight(g),0.0043,NA
ABS1,ABS1-2,NA,2021-11-03,T0,ASW,wet_weight(g),0.0045,NA
ABS1,ABS1-3,NA,2021-11-03,T0,ASW,wet_weight(g),0.0053,NA
ABS1,ABS1-4,NA,2021-11-03,T0,ASW,wet_weight(g),0.0043,NA
ABS1,ABS1-5,NA,2021-11-03,T0,ASW,wet_weight(g),0.0039,NA
ABS1,ABS1-6,NA,2021-11-03,T0,ASW,wet_weight(g),0.0051,NA
ABS2,ABS2-1,NA,2021-11-03,T0,ASW,wet_weight(g),0.0054,NA
ABS2,ABS2-2,NA,2021-11-03,T0,ASW,wet_weight(g),0.0034,NA
ABS2,ABS2-3,NA,2021-11-03,T0,ASW,wet_weight(g),0.0078,NA
ABS2,ABS2-4,NA,2021-11-03,T0,ASW,wet_weight(g),0.004,NA
ABS2,ABS2-5,NA,2021-11-03,T0,ASW,wet_weight(g),0.0049,NA
ABS2,ABS2-6,NA,2021-11-03,T0,ASW,wet_weight(g),0.0058,NA
ASW,ASW-1,NA,2021-12-06,T1,ASW,wet_weight(g),0.0294,NA
ASW,ASW-2,NA,2021-12-06,T1,ASW,wet_weight(g),0.0259,NA
ASW,ASW-3,NA,2021-12-06,T1,ASW,wet_weight(g),0.0329,NA
ASW,ASW-4,NA,2021-12-06,T1,ASW,wet_weight(g),0.0227,NA
ASW,ASW-5,NA,2021-12-06,T1,ASW,wet_weight(g),0.0239,NA
ASW,ASW-6,NA,2021-12-06,T1,ASW,wet_weight(g),0.0229,NA
ABS1,ABS1-1,NA,2021-12-06,T1,FASW,wet_weight(g),0.0226,NA
ABS1,ABS1-2,NA,2021-12-06,T1,FASW,wet_weight(g),0.0156,NA
ABS1,ABS1-3,NA,2021-12-06,T1,FASW,wet_weight(g),0.019,NA
