"","ASV","Kingdom","string","Phylum","Class","Order","Family","Genus","Species","Family2"
"ASV1","ASV1","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;NA_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,"Alteromonadaceae"
"ASV5","ASV5","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Alteromonas_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas",NA,"Alteromonadaceae"
"ASV56","ASV56","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;NA_;NA_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA,"Gammaproteobacteria-unknown"
"ASV3","ASV3","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;Pseudoalteromonas_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Pseudoalteromonas",NA,"Alteromonadaceae"
"ASV19","ASV19","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Vibrionaceae_;Photobacterium_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",NA,"Vibrionaceae"
"ASV6","ASV6","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Vibrionaceae_;Vibrio_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,"Vibrionaceae"
"ASV86","ASV86","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;NA_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,"Alteromonadaceae"
"ASV4","ASV4","Bacteria","Proteobacteria_;Gammaproteobacteria_;Enterobacterales_;Alteromonadaceae_;NA_;NA","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,"Alteromonadaceae"
"ASV9","ASV9","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Halomonadaceae_;Halomonas_;NA","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas",NA,"Halomonadaceae"
"ASV25","ASV25","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Halomonadaceae_;Oceanospirillum_;Oceanospirillum linum(GB_GCA_001995095_2)","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Oceanospirillum","Oceanospirillum linum(GB_GCA_001995095_2)","Halomonadaceae"
"ASV24","ASV24","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Pseudomonadaceae_;NA_;NA","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,"Pseudomonadaceae"
"ASV21","ASV21","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Oleiphilaceae_;Marinobacter_;NA","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Marinobacter",NA,"Oleiphilaceae"
"ASV61","ASV61","Bacteria","Proteobacteria_;Gammaproteobacteria_;NA_;NA_;NA_;NA","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"Gammaproteobacteria-unknown"
"ASV110","ASV110","Bacteria","Proteobacteria_;Gammaproteobacteria_;Pseudomonadales_;Spongiibacteraceae_;Spongiibacter_;Spongiibacter tropicus(RS_GCF_000420325_1)","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Spongiibacter","Spongiibacter tropicus(RS_GCF_000420325_1)","Spongiibacteraceae"
"ASV44","ASV44","Bacteria","Proteobacteria_;Gammaproteobacteria_;NA_;NA_;NA_;NA","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"Gammaproteobacteria-unknown"
"ASV22","ASV22","Bacteria","Verrucomicrobiota_;Verrucomicrobiae_;Verrucomicrobiales_;Akkermansiaceae_;NA_;NA","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA,"Akkermansiaceae"
"ASV35","ASV35","Bacteria","Planctomycetota_;Phycisphaerae_;Phycisphaerales_;NA_;NA_;NA","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerae-unknown"
"ASV39","ASV39","Bacteria","Planctomycetota_;Phycisphaerae_;NA_;NA_;NA_;NA","Planctomycetota","Phycisphaerae",NA,NA,NA,NA,"Phycisphaerae-unknown"
"ASV16","ASV16","Bacteria","Planctomycetota_;Planctomycetes_;Pirellulales_;Pirellulaceae_;UBA11363_;UBA11363 sp007752135(RS_GCF_007752135_1)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","UBA11363","UBA11363 sp007752135(RS_GCF_007752135_1)","Pirellulaceae"
"ASV37","ASV37","Bacteria","Planctomycetota_;Planctomycetes_;Pirellulales_;Pirellulaceae_;NA_;NA","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,"Pirellulaceae"
"ASV67","ASV67","Bacteria","Planctomycetota_;Planctomycetes_;Pirellulales_;Pirellulaceae_;NA_;NA","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,"Pirellulaceae"
"ASV13","ASV13","Bacteria","Myxococcota_;Polyangia_;Nannocystales_;Nannocystaceae_;Ga0077550_;Ga0077550 sp001464385(GB_GCA_001464385_1)","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","Ga0077550","Ga0077550 sp001464385(GB_GCA_001464385_1)","Nannocystaceae"
"ASV152","ASV152","Bacteria","Actinobacteriota_;Actinomycetia_;Mycobacteriales_;Mycobacteriaceae_;Dietzia_;Dietzia psychralcaliphila(RS_GCF_003096095_1)","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Dietzia","Dietzia psychralcaliphila(RS_GCF_003096095_1)","Mycobacteriaceae"
"ASV51","ASV51","Bacteria","Bacteroidota_;Bacteroidia_;NA_;NA_;NA_;NA","Bacteroidota","Bacteroidia",NA,NA,NA,NA,"Bacteroidia-unknown"
"ASV95","ASV95","Bacteria","Bacteroidota_;Bacteroidia_;NA_;NA_;NA_;NA","Bacteroidota","Bacteroidia",NA,NA,NA,NA,"Bacteroidia-unknown"
"ASV15","ASV15","Bacteria","Bacteroidota_;Bacteroidia_;Chitinophagales_;Saprospiraceae_;NA_;NA","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,"Saprospiraceae"
"ASV81","ASV81","Bacteria","Bacteroidota_;Bacteroidia_;Flavobacteriales_;Flavobacteriaceae_;Muricauda_;Muricauda sp004804315(RS_GCF_004804315_1)","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda","Muricauda sp004804315(RS_GCF_004804315_1)","Flavobacteriaceae"
"ASV27","ASV27","Bacteria","Bacteroidota_;Bacteroidia_;Flavobacteriales_;Flavobacteriaceae_;Tenacibaculum_;NA","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,"Flavobacteriaceae"
